player_id,player_name,team_id,team_name,score,gw_id
1254394,Obed Vargas,6710,Mexico,0,1
558539,Guillermo Martínez,6710,Mexico,0,1
954092,Santiago Giménez,6710,Mexico,0,1
977404,César Huerta,6710,Mexico,0,1
1073742,Julio Enciso,6724,Paraguay,29,1
442277,Miguel Almirón,6724,Paraguay,28,1
1059490,Mauricio,6724,Paraguay,22,1
751998,Omar Alderete,6724,Paraguay,20,1
1354561,Diego Gómez,6724,Paraguay,19,1
1133495,Juan Cáceres,6724,Paraguay,15,1
1320444,Álex Arce,6724,Paraguay,15,1
529625,Andrés Cubas,6724,Paraguay,15,1
274392,Gustavo Gómez,6724,Paraguay,12,1
90006724,Paraguay Keepers,6724,Paraguay,10,1
497352,Gustavo Velázquez,6724,Paraguay,7,1
474448,Antonio Sanabria,6724,Paraguay,6,1
1252913,Damián Bobadilla,6724,Paraguay,4,1
1132960,Ramón Sosa,6724,Paraguay,3,1
600850,Alejandro Romero,6724,Paraguay,3,1
466214,Júnior Alonso,6724,Paraguay,0,1
307438,Fabián Balbuena,6724,Paraguay,0,1
860890,José Canale,6724,Paraguay,0,1
1736527,Alexandro Maidana,6724,Paraguay,0,1
1075065,Braian Ojeda,6724,Paraguay,0,1
1241957,Matías Galarza,6724,Paraguay,0,1
425711,Gabriel Ávalos,6724,Paraguay,0,1
1033279,Isidro Pitta,6724,Paraguay,0,1
1347933,Gustavo Caballero,6724,Paraguay,0,1
90006316,South Africa Keepers,6316,South Africa,32,1
1600334,Ime Okon,6316,South Africa,25,1
848361,Teboho Mokoena,6316,South Africa,20,1
940010,Khuliso Mudau,6316,South Africa,19,1
1719066,Mbekezeli Mbokazi,6316,South Africa,18,1
1178629,Jayden Adams,6316,South Africa,13,1
716819,Nkosinathi Sibisi,6316,South Africa,12,1
1124424,Thalente Mbatha,6316,South Africa,8,1
1137059,Evidence Makgopa,6316,South Africa,8,1
1076668,Iqraam Rayners,6316,South Africa,7,1
1054166,Oswin Appollis,6316,South Africa,6,1
616179,Aubrey Maphosa Modiba,6316,South Africa,4,1
881500,Lyle Foster,6316,South Africa,4,1
1202481,Bradley Cross,6316,South Africa,0,1
1451566,Kamogelo Sebelebele,6316,South Africa,0,1
1469826,Olwethu Makhanya,6316,South Africa,0,1
1579341,Thabang Matuludi,6316,South Africa,0,1
1680659,Samukelo Kabini,6316,South Africa,0,1
1680696,Khulumani Ndamane,6316,South Africa,0,1
1289611,Tshepang Moremi,6316,South Africa,0,1
1394951,Thapelo Maseko,6316,South Africa,0,1
1471333,Relebohile Mofokeng,6316,South Africa,0,1
303609,Themba Zwane,6316,South Africa,0,1
1107735,Sphephelo Sithole,6316,South Africa,0,1
729769,Tyler Adams,6713,USA,48,1
688295,Christian Pulisic,6713,USA,45,1
982677,Folarin Balogun,6713,USA,42,1
1338696,Alex Freeman,6713,USA,41,1
1126058,Malik Tillman,6713,USA,38,1
198444,Tim Ream,6713,USA,35,1
848266,Weston McKennie,6713,USA,33,1
950829,Chris Richards,6713,USA,31,1
662428,Antonee Robinson,6713,USA,29,1
1071179,Giovanni Reyna,6713,USA,20,1
90006713,USA Keepers,6713,USA,18,1
892816,Sergiño Dest,6713,USA,17,1
1136096,Sebastian Berhalter,6713,USA,13,1
1036401,Ricardo Pepi,6713,USA,11,1
889536,Timothy Weah,6713,USA,4,1
688271,Auston Trusty,6713,USA,0,1
825623,Miles Robinson,6713,USA,0,1
924485,Mark McKenzie,6713,USA,0,1
959696,Joseph Scally,6713,USA,0,1
621946,Cristian Roldan,6713,USA,0,1
952322,Brenden Aaronson,6713,USA,0,1
1348329,Max Arfsten,6713,USA,0,1
621882,Alex Zendejas,6713,USA,0,1
848268,Haji Wright,6713,USA,0,1
