player_id,player_name,team_id,team_name,usual_playing_position_id,minutes_played,goals,assists,accurate_passes,inaccurate_passes,chances_created,shots_on_target,shots_off_target,dispossessed,tackles,last_man_tackle,clearance_off_the_line,tackles_lost,blocks,clearances,headed_clearance,clearances_total,interceptions,recoveries,dribbled_past,ground_duels_won,ground_duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls_committed,duels_won,errors_led_to_goal,caught_offside,crosses_completed,crosses_attempted,long_balls_completed,long_balls_attempted,missed_penalty,own_goals,woodwork,dribbles_successful,dribbles_attempted,dribbles_failed,red_cards,stat_role
1384883,Marc Casadó,8634,Barcelona,2,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
1404415,Fermín López,8634,Barcelona,2,67.0,1.0,1.0,12.0,5.0,1.0,1.0,0.0,1.0,3.0,0,0,5.0,0.0,2.0,1.0,3,1.0,3.0,1.0,3.0,5.0,1.0,0.0,,2.0,4.0,0,0,0,1,0,1,0,0,0,0,1,1,0,Midfielder
1467236,Lamine Yamal,8634,Barcelona,2,90.0,1.0,1.0,24.0,4.0,1.0,3.0,1.0,0.0,3.0,0,0,2.0,0.0,0.0,,0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,3.0,1.0,7.0,1,0,0,1,0,1,0,0,0,1,2,1,0,Midfielder
1573126,Marc Bernal,8634,Barcelona,2,90.0,1.0,0.0,41.0,5.0,0.0,1.0,0.0,1.0,0.0,0,0,5.0,0.0,1.0,,1,1.0,6.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,0,0,0,0,2,3,0,0,0,0,2,2,0,Midfielder
1777474,Tomás Marqués,8634,Barcelona,2,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
1815149,Xavi Espart,8634,Barcelona,2,24.0,0.0,0.0,15.0,0.0,1.0,,,0.0,1.0,0,0,1.0,0.0,0.0,,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,Midfielder
93447,Robert Lewandowski,8634,Barcelona,3,66.0,2.0,0.0,9.0,2.0,3.0,3.0,0.0,1.0,0.0,0,0,1.0,0.0,1.0,1.0,2,0.0,2.0,0.0,4.0,1.0,3.0,2.0,4.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
521148,Jacob Murphy,10261,Newcastle United,3,26.0,0.0,0.0,3.0,0.0,1.0,,,0.0,1.0,0,0,1.0,0.0,0.0,,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,Forward
666857,Yoane Wissa,10261,Newcastle United,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
696365,Marcus Rashford,8634,Barcelona,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
760359,Harvey Barnes,10261,Newcastle United,3,90.0,0.0,1.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,4.0,0.0,0.0,,0,0.0,4.0,0.0,3.0,4.0,0.0,2.0,2.0,2.0,3.0,0,0,0,2,0,0,0,0,0,0,1,1,0,Forward
881771,Ferran Torres,8634,Barcelona,3,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0,2,0,0,0,0,0,0,0,0,0,0,0,Forward
906937,Anthony Gordon,10261,Newcastle United,3,81.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0,0,0,0,1,1,0,0,0,1,2,1,0,Forward
1050166,Anthony Elanga,10261,Newcastle United,3,64.0,2.0,0.0,9.0,6.0,1.0,2.0,0.0,0.0,0.0,0,0,2.0,0.0,1.0,,1,0.0,1.0,1.0,0.0,2.0,1.0,1.0,,1.0,1.0,0,1,1,2,0,1,0,0,0,0,0,0,0,Forward
1106563,Nick Woltemade,10261,Newcastle United,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
1258092,William Osula,10261,Newcastle United,3,9.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,1.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,1,1,0,Forward
1315475,Roony Bardghji,8634,Barcelona,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
1443841,Sean Neave,10261,Newcastle United,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
