auction_id,round,match,participant_a,participant_b,gw1_top5_a,gw1_top5_b,notes
5,Quarter Final,1,Sujay,Abhilfc,260,245,Random draw — winner advances to SF
5,Quarter Final,2,Zahaan,Vihaan,243,255,Random draw — winner advances to SF
5,Quarter Final,3,Mrinal Trivedi,Easy Money,193,275,Random draw — winner advances to SF
5,Quarter Final,4,Vada Pav FC,Nico,247,260,Random draw — winner advances to SF
