player_id,player_name,team_id,team_name,usual_playing_position_id,minutes_played,goals,assists,accurate_passes,inaccurate_passes,chances_created,shots_on_target,shots_off_target,dispossessed,tackles,last_man_tackle,clearance_off_the_line,tackles_lost,blocks,clearances,headed_clearance,clearances_total,interceptions,recoveries,dribbled_past,ground_duels_won,ground_duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls_committed,duels_won,errors_led_to_goal,caught_offside,crosses_completed,crosses_attempted,long_balls_completed,long_balls_attempted,missed_penalty,own_goals,woodwork,dribbles_successful,dribbles_attempted,dribbles_failed,red_cards,stat_role
933768,Curtis Jones,8650,Liverpool,2,23.0,0.0,0.0,19.0,0.0,0.0,,,0.0,0.0,0,0,0.0,0.0,1.0,1.0,2,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0,0,0,0,1,1,0,0,0,1,1,0,0,Midfielder
956683,Ryan Gravenberch,8650,Liverpool,2,89.0,1.0,0.0,37.0,5.0,0.0,1.0,0.0,0.0,1.0,0,0,5.0,0.0,0.0,,0,3.0,10.0,2.0,1.0,5.0,1.0,0.0,,0.0,2.0,0,0,0,0,1,4,0,0,0,0,3,3,0,Midfielder
1152455,Florian Wirtz,8650,Liverpool,2,89.0,0.0,1.0,51.0,12.0,8.0,2.0,1.0,1.0,2.0,0,0,5.0,0.0,0.0,,0,0.0,4.0,1.0,6.0,5.0,0.0,3.0,,2.0,6.0,0,0,0,3,1,3,0,0,0,4,6,2,0,Midfielder
1436258,Trey Nyoni,8650,Liverpool,2,1.0,0.0,0.0,6.0,0.0,0.0,,,0.0,0.0,0,0,,0.0,0.0,,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0,0,0,0,1,1,0,0,0,0,0,0,0,Midfielder
282770,Mauro Icardi,8637,Galatasaray,3,10.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,,0.0,0.0,,0,0.0,0.0,0.0,,,0.0,1.0,,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,Forward
292462,Mohamed Salah,8650,Liverpool,3,74.0,1.0,1.0,18.0,1.0,2.0,6.0,1.0,0.0,1.0,0,0,7.0,0.0,0.0,,0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,,1.0,2.0,0,1,1,3,1,1,1,0,1,1,6,5,0,Forward
530859,Leroy Sané,8637,Galatasaray,3,45.0,0.0,0.0,14.0,3.0,0.0,,,0.0,0.0,0,0,1.0,0.0,0.0,,0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,3.0,0,0,0,0,1,1,0,0,0,2,3,1,0,Forward
687681,Victor Osimhen,8637,Galatasaray,3,45.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,Forward
784510,Federico Chiesa,8650,Liverpool,3,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0,0,0,0,0,0,0,0,0,1,2,1,0,Forward
806552,Cody Gakpo,8650,Liverpool,3,16.0,0.0,0.0,3.0,0.0,0.0,,,0.0,0.0,0,0,,0.0,0.0,,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
837341,Noa Lang,8637,Galatasaray,3,35.0,0.0,0.0,11.0,5.0,0.0,,,0.0,0.0,0,0,0.0,0.0,0.0,,0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,0.0,2.0,0,0,0,3,1,1,0,0,0,1,1,0,0,Forward
845991,Yunus Akgün,8637,Galatasaray,3,30.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,0,0,2.0,0.0,0.0,,0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Forward
887139,Ahmed Kutucu,8637,Galatasaray,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
890232,Baris Alper Yilmaz,8637,Galatasaray,3,90.0,0.0,0.0,15.0,5.0,1.0,,,1.0,2.0,0,0,4.0,0.0,0.0,,0,0.0,3.0,1.0,5.0,4.0,1.0,2.0,3.0,2.0,6.0,0,0,1,1,2,3,0,0,0,0,0,0,0,Forward
1197030,Hugo Ekitiké,8650,Liverpool,3,89.0,1.0,0.0,35.0,9.0,3.0,3.0,3.0,3.0,2.0,0,0,7.0,0.0,0.0,,0,0.0,4.0,0.0,5.0,7.0,3.0,1.0,,1.0,8.0,0,0,0,0,2,2,0,0,0,3,6,3,0,Forward
1277380,Yáser Asprilla,8637,Galatasaray,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
1439550,Kieran Morrison,8650,Liverpool,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
1597668,Rio Ngumoha,8650,Liverpool,3,1.0,0.0,0.0,4.0,0.0,3.0,,,0.0,0.0,0,0,1.0,0.0,0.0,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0,1,0,0,0,0,0,0,0,0,1,1,0,Forward
