player_id,player_name,team_id,team_name,position,href,source_files
566776,Alessandro Gabrielloni,10171,Como,Forward,https://www.fotmob.com/en-GB/players/566776/alessandro-gabrielloni,Como_Squad.json
461357,Alessandro Schöpf,9977,LASK,Midfielder,https://www.fotmob.com/en-GB/players/461357/alessandro-schopf,LASK_Squad.json
1695978,Alessio Chiesa,10171,Como,Defender,https://www.fotmob.com/en-GB/players/1695978/alessio-chiesa,Como_Squad.json
1338696,Alex Freeman,10205,Villarreal,Defender,https://www.fotmob.com/en-GB/players/1338696/alex-freeman,Villarreal_Squad.json
690107,Alexander Isak,8650,Liverpool,Forward,https://www.fotmob.com/en-GB/players/690107/alexander-isak,Liverpool_Squad.json
440330,Alexander Sørloth,9906,Atletico Madrid,Forward,https://www.fotmob.com/en-GB/players/440330/alexander-sorloth,Atletico_Madrid_Squad.json
1557209,Alexej Maros,6019,Slovan Bratislava,Forward,https://www.fotmob.com/en-GB/players/1557209/alexej-maros,Slovan_Bratislava_Squad.json
831489,Alexis Mac Allister,8650,Liverpool,Midfielder,https://www.fotmob.com/en-GB/players/831489/alexis-mac-allister,Liverpool_Squad.json
1186553,Alexsandro Ribeiro,8639,Lille,Defender,https://www.fotmob.com/en-GB/players/1186553/alexsandro-ribeiro,Lille_Squad.json
1503318,Alisson Santana,9728,Shakhtar Donetsk,Forward,https://www.fotmob.com/en-GB/players/1503318/alisson-santana,Shakhtar_Donetsk_Squad.json
1355552,Alisson Santos,9875,Napoli,Midfielder,https://www.fotmob.com/en-GB/players/1355552/alisson-santos,Napoli_Squad.json
1489096,Almeida,951893,Sabah FK,Defender,https://www.fotmob.com/en-GB/players/1489096/almeida,Sabah_FK_Squad.json
751202,Alphonso Davies,9823,Bayern Munich,Defender,https://www.fotmob.com/en-GB/players/751202/alphonso-davies,Bayern_Munich_Squad.json
1190025,Alvaro Carreras,8633,Real Madrid,Defender,https://www.fotmob.com/en-GB/players/1190025/alvaro-carreras,Real_Madrid_Squad.json
1656860,Alysson Edward,10252,Aston Villa,Forward,https://www.fotmob.com/en-GB/players/1656860/alysson-edward,Aston_Villa_Squad.json
1070052,Amad Diallo,10260,Manchester United,Forward,https://www.fotmob.com/en-GB/players/1070052/amad-diallo,Manchester_United_Squad.json
688830,Amadou Haidara,8588,Lens,Midfielder,https://www.fotmob.com/en-GB/players/688830/amadou-haidara,Lens_Squad.json
1185748,Amadou Onana,10252,Aston Villa,Midfielder,https://www.fotmob.com/en-GB/players/1185748/amadou-onana,Aston_Villa_Squad.json
1537000,Amara Diouf,8695,Fenerbahce,Forward,https://www.fotmob.com/en-GB/players/1537000/amara-diouf,Fenerbahce_Squad.json
1279764,Ameen Al Dakhil,10269,VfB Stuttgart,Defender,https://www.fotmob.com/en-GB/players/1279764/ameen-al-dakhil,VfB_Stuttgart_Squad.json
