auction_name,participant,player_name,team_name,position,fotmob_player_id,price,sold_at
,Gappu,Nathaniel Brown,Germany,Defender,1395447,10,
,Gappu,Issa Diop,Morocco,Defender,696443,5,
,Gappu,Orkun Kokcu,Turkey,Midfielder,935409,5,
,Gappu,Netherlands Keepers,Netherlands,Goalkeeper,90006708,5,
,Gappu,Jhon Arias,Colombia,Midfielder,1023030,5,
,Gappu,Nico Elvedi,Switzerland,Defender,517346,5,
,Sharuya/Armaan,Bruno Fernandes,Portugal,Midfielder,422685,95,
,Sharuya/Armaan,Raphinha,Brazil,Forward,696679,70,
,Sharuya/Armaan,Virgil van Dijk,Netherlands,Defender,209405,26,
,Sharuya/Armaan,Nicolas Tagliafico,Argentina,Defender,195750,20,
,Sharuya/Armaan,N'Golo Kante,France,Midfielder,319300,16,
,Sharuya/Armaan,Igor Thiago,Brazil,Forward,1302005,12,
,Sharuya/Armaan,Micky van de Ven,Netherlands,Defender,1097466,12,
,Sharuya/Armaan,Rafael Leao,Portugal,Forward,848844,12,
,Sharuya/Armaan,Federico Valverde,Uruguay,Midfielder,743533,12,
,Sharuya/Armaan,Cody Gakpo,Netherlands,Forward,806552,10,
,Sharuya/Armaan,England Keepers,England,Goalkeeper,90008491,9,
,Sharuya/Armaan,Francisco Conceicao,Portugal,Forward,1185336,7,
,Sharuya/Armaan,Omar Marmoush,Egypt,Forward,839204,7,
,Sharuya/Armaan,Arthur Theate,Belgium,Defender,1173250,6,
,Sharuya/Armaan,Antonee Robinson,USA,Defender,662428,6,
,Sharuya/Armaan,Noussair Mazraoui,Morocco,Defender,775539,5,
,Sharuya/Armaan,Felix Nmecha,Germany,Midfielder,966019,5,
,Udani,Lamine Yamal,Spain,Forward,1467236,95,
,Udani,Vinicius Jr,Brazil,Forward,846033,75,
,Udani,Joshua Kimmich,Germany,Defender,460632,45,
,Udani,Cristian Romero,Argentina,Defender,789066,29,
,Udani,William Saliba,France,Defender,955406,25,
,Udani,Hakan Calhanoglu,Turkey,Midfielder,304733,22,
,Udani,Marcus Rashford,England,Forward,696365,20,
,Udani,Desire Doue,France,Forward,1339208,16,
,Udani,Julian Ryerson,Norway,Defender,659272,14,
,Udani,Ibrahim Sangare,Ivory Coast,Midfielder,795371,13,
,Udani,Endrick,Brazil,Forward,1406729,12,
,Udani,Ferran Torres,Spain,Forward,881771,9,
,Udani,Willian Pacho,Ecuador,Defender,1137670,7,
,Udani,Brazil Keepers,Brazil,Goalkeeper,90008256,6,
,Udani,Arda Guler,Turkey,Forward,1253890,6,
,Udani,Weston McKennie,USA,Midfielder,848266,6,
,Udani,Marc Pubill,Spain,Defender,1323897,5,
,V/K,Lionel Messi,Argentina,Forward,30981,80,
,V/K,Declan Rice,England,Midfielder,654096,50,
,V/K,Fabian Ruiz,Spain,Midfielder,605654,37,
,V/K,Mikel Oyarzabal,Spain,Forward,678234,30,
,V/K,Jules Kounde,France,Defender,705450,29,
,V/K,Ezri Konsa,England,Defender,710159,28,
,V/K,Youri Tielemans,Belgium,Midfielder,465960,22,
,V/K,Matheus Cunha,Brazil,Forward,863098,17,
,V/K,Zeno Debast,Belgium,Defender,1232172,14,
,V/K,Scott McTominay,Scotland,Midfielder,843099,10,
,V/K,Memphis Depay,Netherlands,Forward,303824,9,
,V/K,France Keepers,France,Goalkeeper,90006723,8,
,V/K,Brahim Diaz,Morocco,Forward,750027,6,
,V/K,Luka Vuskovic,Croatia,Defender,1413996,6,
,V/K,Yan Diomande,Ivory Coast,Forward,1735453,6,
,V/K,Alex Sandro,Brazil,Defender,157865,5,
,V/K,Ismael Saibari,Morocco,Midfielder,1180288,5,
,V/K,Ferdi Kadioglu,Turkey,Defender,774448,5,
,ZB,Julian Alvarez,Argentina,Forward,974753,60,
,ZB,Jude Bellingham,England,Midfielder,1077894,60,
,ZB,Michael Olise,France,Forward,1029063,50,
,ZB,Bukayo Saka,England,Forward,961995,40,
,ZB,Aurelien Tchouameni,France,Midfielder,914458,36,
,ZB,Marc Cucurella,Spain,Defender,873289,32,
,ZB,Reece James,England,Defender,807729,30,
,ZB,Alexis Mac Allister,Argentina,Midfielder,831489,27,
,ZB,Lucas Paqueta,Brazil,Midfielder,766435,14,
,ZB,Morocco Keepers,Morocco,Goalkeeper,90006262,5,
,ZB,Esmir Bajraktarevic,Bosnia and Herzegovina,Midfielder,1346860,5,
,ZB,Daniel Munoz,Colombia,Defender,859282,5,
,ZB,Ladislav Krejci,Czechia,Defender,798029,5,
,ZB,Cesar Montes,Mexico,Defender,664644,5,
,ZB,Antonio Nusa,Norway,Midfielder,1248482,5,
,ZB,Omar Alderete,Paraguay,Defender,751998,5,
,ZB,Krepin Diatta,Senegal,Defender,837061,5,
,ZB,Alexander Isak,Sweden,Forward,690107,5,
