player_id,player_name,team_id,team_name,usual_playing_position_id,minutes_played,goals,assists,accurate_passes,inaccurate_passes,chances_created,shots_on_target,shots_off_target,dispossessed,tackles,last_man_tackle,clearance_off_the_line,tackles_lost,blocks,clearances,headed_clearance,clearances_total,interceptions,recoveries,dribbled_past,ground_duels_won,ground_duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls_committed,duels_won,errors_led_to_goal,caught_offside,crosses_completed,crosses_attempted,long_balls_completed,long_balls_attempted,missed_penalty,own_goals,woodwork,dribbles_successful,dribbles_attempted,dribbles_failed,red_cards,stat_role
914458,Aurélien Tchouaméni,8633,Real Madrid,2,90.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0,2.0,1.0,2.0,1.0,3,0.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0,2.0,5.0,0,0,0,0,1,1,0,0,0,0,0,0,0,Midfielder
942368,Jérémy Doku,8456,Manchester City,2,90.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,4.0,2.0,0,0,11.0,0.0,0.0,,0,0.0,4.0,1.0,11.0,11.0,0.0,0.0,2.0,0.0,11.0,0,0,0,5,1,1,0,0,0,7,13,6,0,Midfielder
1015185,Eduardo Camavinga,8633,Real Madrid,2,20.0,0.0,0.0,7.0,1.0,0.0,,,0.0,2.0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Midfielder
1253890,Arda Güler,8633,Real Madrid,2,70.0,0.0,0.0,25.0,3.0,1.0,0.0,1.0,1.0,2.0,0,0,3.0,0.0,1.0,1.0,2,1.0,7.0,0.0,3.0,3.0,2.0,0.0,,1.0,5.0,0,0,0,1,1,1,0,0,0,1,2,1,0,Midfielder
1280132,Nico González,8456,Manchester City,2,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
1403691,César Palacios,8633,Real Madrid,2,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
1508427,Manuel Ángel,8633,Real Madrid,2,14.0,0.0,0.0,4.0,0.0,0.0,,,0.0,1.0,0,0,2.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,Midfielder
1796908,Thiago Pitarch,8633,Real Madrid,2,76.0,0.0,0.0,32.0,2.0,0.0,,,0.0,1.0,0,0,5.0,0.0,0.0,,0,0.0,4.0,5.0,1.0,5.0,0.0,0.0,,0.0,1.0,0,0,0,0,2,2,0,0,0,0,0,0,0,Midfielder
1807277,Jorge Cestero,8633,Real Madrid,2,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
737066,Erling Haaland,8456,Manchester City,3,82.0,0.0,0.0,3.0,4.0,0.0,,,0.0,0.0,0,0,1.0,0.0,0.0,,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,Forward
750027,Brahim Díaz,8633,Real Madrid,3,76.0,0.0,1.0,14.0,2.0,1.0,2.0,0.0,1.0,1.0,0,0,6.0,0.0,0.0,,0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,3.0,3.0,0,0,0,0,0,0,0,0,0,1,3,2,0,Forward
839204,Omar Marmoush,8456,Manchester City,3,8.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,1.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
846033,Vinícius Júnior,8633,Real Madrid,3,90.0,0.0,0.0,17.0,5.0,2.0,2.0,1.0,0.0,1.0,0,0,4.0,0.0,0.0,,0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,3.0,1.0,4.0,0,1,0,0,2,2,1,0,0,0,2,2,0,Forward
933576,Antoine Semenyo,8456,Manchester City,3,69.0,0.0,0.0,21.0,5.0,0.0,2.0,0.0,1.0,0.0,0,0,3.0,1.0,0.0,,0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,2.0,3.0,0,0,0,2,1,1,0,0,0,2,2,0,0,Forward
1104053,Rayan Cherki,8456,Manchester City,3,21.0,0.0,0.0,26.0,5.0,0.0,,,0.0,0.0,0,0,,0.0,0.0,,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0,0,0,1,2,2,0,0,0,0,0,0,0,Forward
1174337,Savinho,8456,Manchester City,3,45.0,0.0,0.0,11.0,6.0,0.0,,,0.0,1.0,0,0,2.0,0.0,0.0,,0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,2,2,0,Forward
1413847,Gonzalo García,8633,Real Madrid,3,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
1607566,Franco Mastantuono,8633,Real Madrid,3,14.0,0.0,0.0,3.0,0.0,0.0,,,0.0,0.0,0,0,4.0,0.0,0.0,,0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,Forward
