source_file,player_name,player_id,team_name,position,stats_score,endowment_score,final_score
AtleticoMadrid_Barcelona_FinalPoints.csv,Marcus Rashford,696365,Barcelona,forward,9.558333333333332,-2.5,7
AtleticoMadrid_Barcelona_FinalPoints.csv,Barcelona Keepers,8634,Barcelona,goalkeeper,19.68,12.0,32
AtleticoMadrid_Barcelona_FinalPoints.csv,Lamine Yamal,1467236,Barcelona,midfielder,52.714000000000006,7.0,60
AtleticoMadrid_Barcelona_FinalPoints.csv,Gavi,1279040,Barcelona,midfielder,36.29600000000001,7.0,43
AtleticoMadrid_Barcelona_FinalPoints.csv,Pedri,1083323,Barcelona,midfielder,28.546,7.0,36
AtleticoMadrid_Barcelona_FinalPoints.csv,Dani Olmo,614834,Barcelona,midfielder,26.610666666666667,7.0,34
AtleticoMadrid_Barcelona_FinalPoints.csv,Fermín López,1404415,Barcelona,midfielder,7.458666666666667,7.0,14
AtleticoMadrid_Barcelona_FinalPoints.csv,Frenkie de Jong,638622,Barcelona,midfielder,9.040000000000004,2.5,12
AtleticoMadrid_Barcelona_FinalPoints.csv,Marc Casadó,1384883,Barcelona,midfielder,3.0,0.0,3
AtleticoMadrid_Barcelona_FinalPoints.csv,Tomás Marqués,1777474,Barcelona,midfielder,3.0,0.0,3
BayernMunich_RealMadrid_FinalPoints.csv,Dayot Upamecano,658554,FC Bayern München,defender,50.05,-5.0,45
BayernMunich_RealMadrid_FinalPoints.csv,Alphonso Davies,751202,FC Bayern München,defender,13.26,5.0,18
BayernMunich_RealMadrid_FinalPoints.csv,Josip Stanisic,950824,FC Bayern München,defender,13.23,-5.0,8
BayernMunich_RealMadrid_FinalPoints.csv,Jonathan Tah,469700,FC Bayern München,defender,8.61,-5.0,4
BayernMunich_RealMadrid_FinalPoints.csv,Raphaël Guerreiro,352994,FC Bayern München,defender,3.0,0.0,3
BayernMunich_RealMadrid_FinalPoints.csv,Min-Jae Kim,828159,FC Bayern München,defender,3.0,0.0,3
BayernMunich_RealMadrid_FinalPoints.csv,Hiroki Ito,851626,FC Bayern München,defender,3.0,0.0,3
BayernMunich_RealMadrid_FinalPoints.csv,Konrad Laimer,526827,FC Bayern München,defender,3.47,-5.0,-2
BayernMunich_RealMadrid_FinalPoints.csv,Harry Kane,194165,FC Bayern München,forward,42.28333333333333,12.0,54
BayernMunich_RealMadrid_FinalPoints.csv,Nicolas Jackson,1197347,FC Bayern München,forward,5.0,0.0,5
BayernMunich_RealMadrid_FinalPoints.csv,FC Bayern München Keepers,9823,FC Bayern München,goalkeeper,14.04,0.0,14
BayernMunich_RealMadrid_FinalPoints.csv,Joshua Kimmich,460632,FC Bayern München,midfielder,62.848000000000006,7.0,70
BayernMunich_RealMadrid_FinalPoints.csv,Aleksandar Pavlovic,1473580,FC Bayern München,midfielder,37.622,7.0,45
