player_id,player_name,team_id,team_name,minutes_played,stat_points_total,endowed_points,total_points
505313,Alireza Beiranvand,6711,Iran,90.0,39.3,18.0,57.3
170323,Thibaut Courtois,8263,Belgium,90.0,12.16,18.0,30.16
